C121553	WPS Office	WPS Office:崭新界面设计全面开启，操作得到更大幅度的提高和优化  最佳安卓办公软件，个人版永久免费，体积小、速度快；独有手机阅读模式，字体清晰翻页流畅；完美支持微软Office、PDF等23种文档格式；文档漫游功能，让你离开电脑一样办公。  用户多：全球用户 500,000,000！ 口碑好：Google Play 超过490,000五星评	http://appimg.hicloud.com/hwmarket/files/application/icon144/0e5177478c004138a52e8d35c9d4bb0c.png	C37127:PDF阅读器 …,C5373:支付宝,C10191116:图片合成器,C10047107:滴滴出行,C10129690:听歌学英语,C10159654:更换字体管家(…,C6981:1药网,C6468:金山词霸,C183901:WiFi信号增强…,C10113430:CAD快速看图,C121553:WPS Office,C10096044:金山WPS Of…,C381:网易有道词典,C37549:189邮箱,C5458:驾考宝典-驾校…,C10113015:作业帮,C10068705:扫描全能王,C6468:金山词霸,C10082485:名片全能王,C10191382:小猿搜题,
C10060708	华为支付	该应用为华为钱包支付服务插件，无桌面图标，不支持打开操作，如需进行花币充值、银行卡管理、查询账单及体验其他钱包功能，请搜索“华为钱包”安装体验。华为支付内包含零钱、花币、信用卡、借记卡、支付宝、手机充值卡等多种支付方式，使用华为账号登录，更可体验一键支付的方便快捷。	http://appimg.hicloud.com/hwmarket/files/application/icon144/96223e51848046fbb52035fad1cdbeea.png	C10174759:消灭糖果贺岁版,C10113531:保卫萝卜2,C10249215:超级玛丽酷跑,C10075868:地铁跑酷,C10099655:铁路12306,C183901:WiFi信号增强…,C54626:铃声多多,C10057661:Google Play …,C174391:百度云,C6014428:Smart Connec…,C27162:华为应用市场,C66323:华为备份,C10055832:文件管理,C21976:UC浏览器,C10067631:华为手机服务,C10207207:华为云服务,C20679:QQ浏览器,C10060708:华为支付,C10059090:华为游戏中心,C2682:搜狗输入法,
C7166	微博	随时随地发现新鲜事！微博带你欣赏世界上每一个精彩瞬间，了解每一个幕后故事。分享你想表达的，让全世界都能听到你的心声。 在微博： -你能看到最新，最全面的资讯内容。无论是官方发布的新闻还是草根爆料的八卦。 -第一时间了解关注人的最新动态，无论是体育、电影、财经、还是吃喝玩乐。 -想说点啥？发送文字、照片、视频，随心所欲地创作，轻松自在地	http://appimg.hicloud.com/hwmarket/files/application/icon144/0f0c59f8521f4d379cb5d671cafd7c72.png	C34075:手机淘宝,C183901:WiFi信号增强…,C37161:YY,C5373:支付宝,C20252:京东,C5683:微信,C2682:搜狗输入法,C55726:明星同款-一闪…,C9319:QQ,C41529:万年历日历,C5683:微信,C9319:QQ,C7166:微博,C23563:陌陌,C10085602:花粉俱乐部,C10154337:易信,C2543:QQ同步助手,C19185:百度贴吧,C30467:飞信,C31575:139邮箱,
C57236	今日头条	★用户量过4亿的新闻阅读客户端   ★占领AppStore新闻类榜首24个月   ★每天用户总在线时长超过7.2亿分钟   ★每天社交平台分享量达1000万次   ★5秒钟掌握你的新闻阅读兴趣点     你关心的，才是头条！《今日头条》会聪明地分析你的兴趣爱好，理解你的阅读行为，为你推荐	http://appimg.hicloud.com/hwmarket/files/application/icon144/f341398079ad4a0e80112655fbdb7b01.png	C43442:新浪新闻,C4543:和讯财经,C32840:掌阅iReader,C19168:凤凰新闻,C20252:京东,C2022:搜狐新闻,C183901:WiFi信号增强…,C10191116:图片合成器,C18815:百度新闻,C10167186:澎湃新闻,C2022:搜狐新闻,C57236:今日头条,C9147:网易新闻,C104688:腾讯新闻,C179773:爱读掌阅,C149006:塔读文学,C28837:ZAKER,C86189:爱动漫,C2034:天翼阅读,C10084466:咪咕阅读,
C34075	手机淘宝	打开淘宝领金币-人人有份 手机淘宝（Android版）是阿里巴巴专为Android手机用户推出的满足其生活消费和线上购物需求的软件，具有查看附近的生活优惠信息、商品搜索、浏览、购买、支付、收藏、物流查询、旺旺沟通等在线功能，成为了用户方便快捷的生活消费入口	http://appimg.hicloud.com/hwmarket/files/application/icon144/73ef8e72e5d643fd8c5e6895b0ba7013.png	C5373:支付宝,C57804:天猫,C20252:京东,C10193357:微医,C10099655:铁路12306,C174391:百度云,C32569:优酷,C55726:明星同款-一闪…,C183901:WiFi信号增强…,C10113531:保卫萝卜2,C34075:手机淘宝,C5373:支付宝,C10049053:华为商城,C5206:美团,C57804:天猫,C10608:大众点评,C20252:京东,C31975:墨迹天气,C9136:唯品会,C5037:号码百事通,
C10132067	华为帐号	华为帐号，是您用于访问所有华为终端服务的帐号。使用华为帐号登录后，您将可以使用这台设备的华为云服务、应用市场、华为商城、花粉俱乐部、游戏中心（包含下载的游戏）、手机服务、钱包及更多服务。您可以在以上应用中登录或者退出。 华为帐号是系统应用，不支持打开操作。如需管理华为帐号或更新个人信息，EMUI3.0+手机可通过云服务、主题、音乐等应用，在我的界面点击	http://appimg.hicloud.com/hwmarket/files/application/icon144/b8bc8633391e41b48b867c1a446016f8.png	C10067631:华为手机服务,C5373:支付宝,C31346:手机百度,C10057661:Google Play …,C2682:搜狗输入法,C10269239:单机斗地主,C10168550:亲情关怀,C21976:UC浏览器,C10145536:极品狂飙3D,C174391:百度云,C27162:华为应用市场,C66323:华为备份,C10055832:文件管理,C21976:UC浏览器,C10067631:华为手机服务,C10207207:华为云服务,C20679:QQ浏览器,C10060708:华为支付,C10059090:华为游戏中心,C2682:搜狗输入法,
C66323	华为备份	华为备份:【软件介绍】 【备份】是华为公司为用户精心打造的一款手机数据备份软件，可以方便快速地在本地或云端备份华为手机中的个人数据、应用程序、多媒体数据等，系统升级、刷机、换机安全无忧。 【备份】支持中文、英文、法语、西班牙语、俄语、日语、韩语等42国语言，适配华为手机安卓系统4.0及以上。  【功能特色】 1.全数据：可备份您手机中所有	http://appimg.hicloud.com/hwmarket/files/application/icon144/14ed1e7bf7fb42b899195b0c618cb266.png	C5683:微信,C54626:铃声多多,C9319:QQ,C10220136:QQ音乐,C183901:WiFi信号增强…,C2682:搜狗输入法,C20679:QQ浏览器,C3466:酷狗音乐,C32840:掌阅iReader,C174391:百度云,C27162:华为应用市场,C66323:华为备份,C10055832:文件管理,C21976:UC浏览器,C10067631:华为手机服务,C10207207:华为云服务,C20679:QQ浏览器,C10060708:华为支付,C10059090:华为游戏中心,C2682:搜狗输入法,
C27162	华为应用市场	新版本特性： 1、排行全新改版，浏览操作更便捷 2、排行增加个性榜，更多好玩应用 3、应用的图标和截图显示更清晰  华为应用市场 --放心下，畅快玩！ 1、提供新鲜、热辣、好玩的安卓应用 2、应用均经过严格的安全检测，与病毒彻底Say Byebye 3、提供有奖下载和全宇宙独家首发 4、签到或下载即	http://appimg.hicloud.com/hwmarket/files/application/icon144/23299278566f4ac99253faa85eb5c14f.png	C183901:WiFi信号增强…,C174391:百度云,C2002:爱奇艺,C10067631:华为手机服务,C23395:全国违章查询,C6014423:Google 键盘,C10047107:滴滴出行,C54626:铃声多多,C10055832:文件管理,C20252:京东,C27162:华为应用市场,C66323:华为备份,C10055832:文件管理,C21976:UC浏览器,C10067631:华为手机服务,C10207207:华为云服务,C20679:QQ浏览器,C10060708:华为支付,C10059090:华为游戏中心,C2682:搜狗输入法,
C10021449	音乐	华为音乐是华为手机上内置的系统音乐播放器，旨在为用户提供一站式的音乐体验服务。无需安装第三方音乐软件，即可享受来自互联网的海量音乐资源。 亮点介绍 【清新界面】沉浸式界面，播放界面随音乐色彩变幻； 【丰富内容】全面升级曲库，畅享随心音乐体验； 【桌面歌词】新增桌面歌词，支持字体、颜色调整； 【听歌识曲】一键搜索，好音乐不再错过；	http://appimg.hicloud.com/hwmarket/files/application/icon144/710db4ade6d3413c8b4be29e1a926559.png	C3466:酷狗音乐,C10220136:QQ音乐,C10191116:图片合成器,C10017070:高铁管家,C5683:微信,C174391:百度云,C9319:QQ,C5373:支付宝,C54626:铃声多多,C290:酷我音乐,C10021449:音乐,C3466:酷狗音乐,C2002:爱奇艺,C20960:搜狐视频,C32569:优酷,C29156:腾讯视频,C290:酷我音乐,C2068:多米音乐,C10220136:QQ音乐,C10162466:爱看4G视频,
C9319	QQ	-----QQ•乐在沟通-----  √服务超过90%的移动互联网用户 √多人视频、文件多端互传，不断创新满足沟通所需 √致力于打造欢乐无限的沟通、娱乐与生活体验  -----主要功能-----  •聊天消息：随时随地收发好友和群消息，一触即达。 •语音通话：两人、多人语音通话，高清畅聊。 •视频聊天：亲朋好友，想念不如相见。 •文件传输：手机、电脑多端互传	http://appimg.hicloud.com/hwmarket/files/application/icon144/2f4d7923d17f4187ac4776483e767592.png	C20252:京东,C5683:微信,C34075:手机淘宝,C5373:支付宝,C3466:酷狗音乐,C41529:万年历日历,C183901:WiFi信号增强…,C57236:今日头条,C2682:搜狗输入法,C10220136:QQ音乐,C5683:微信,C9319:QQ,C7166:微博,C23563:陌陌,C10085602:花粉俱乐部,C10154337:易信,C2543:QQ同步助手,C19185:百度贴吧,C30467:飞信,C31575:139邮箱,
C10055832	文件管理	【软件介绍】  【华为文件管理】是华为公司为用户精心打造的一款好用、易用的资源管理共享类应用软件。体贴的分类让您可以快速找到图片、音频、文档、视频、压缩包等文件，不再纠结于N级的文件目录。 【华为文件管理】支持中文、英文、法语、西班牙语、俄语、日语、韩语等42国语言，适配华为手机安卓系统4.0及以上。  【功能特色】  1.支持	http://appimg.hicloud.com/hwmarket/files/application/icon144/4d44195fa69e44fc98f74df3427af2f9.png	C54626:铃声多多,C174391:百度云,C10067631:华为手机服务,C10057661:Google Play …,C183901:WiFi信号增强…,C10047107:滴滴出行,C10114178:流量宝,C10017070:高铁管家,C10100910:清理精灵,C62612:鲁大师,C27162:华为应用市场,C66323:华为备份,C10055832:文件管理,C21976:UC浏览器,C10067631:华为手机服务,C10207207:华为云服务,C20679:QQ浏览器,C10060708:华为支付,C10059090:华为游戏中心,C2682:搜狗输入法,
C5683	微信	1.可以发语音、文字消息、表情、图片、视频30M流量可以收发上千条语音，省电省流量 2.朋友圈，跟朋友们分享生活点滴 3.摇一摇、查看附近的人，世界不再有陌生人 4.扫一扫，可以扫商品条码、图书封面、CD封面，甚至扫描英文单词来翻译成中文 5.公众帐号，用微信关注明星、看新闻、设提醒 6.游戏中心，和朋友们一起玩游戏 7.	http://appimg.hicloud.com/hwmarket/files/application/icon144/f8b8ed9e3afb490288a841efd39c1178.png	C183901:WiFi信号增强…,C20252:京东,C9319:QQ,C3466:酷狗音乐,C34075:手机淘宝,C5373:支付宝,C10191116:图片合成器,C10017070:高铁管家,C3382:百度地图,C10047107:滴滴出行,C5683:微信,C9319:QQ,C7166:微博,C23563:陌陌,C10085602:花粉俱乐部,C10154337:易信,C2543:QQ同步助手,C19185:百度贴吧,C30467:飞信,C31575:139邮箱,
C10067631	华为手机服务	华为手机服务:“手机服务”为华为手机用户提供立体在线服务，集成智能问答、用户指南、服务网点、花粉论坛等必备服务，旨在为用户提供统一的手机售后服务入口，帮助用户便捷定位和快速解决问题，让您安心、省心、放心地使用华为手机。 主要功能： 1、华为会员：华为提供给终端消费者的一项增值服务，是消费者尊贵身份的象征。会员可享受专属售后服务、VIP客服、应用和游戏特权、生活	http://appimg.hicloud.com/hwmarket/files/application/icon144/e0ff9c9ffa1c4dc69867833d4da146ce.png	C9319:QQ,C5683:微信,C183901:WiFi信号增强…,C10220136:QQ音乐,C3466:酷狗音乐,C174391:百度云,C10207207:华为云服务,C31346:手机百度,C2682:搜狗输入法,C10047107:滴滴出行,C27162:华为应用市场,C66323:华为备份,C10055832:文件管理,C21976:UC浏览器,C10067631:华为手机服务,C10207207:华为云服务,C20679:QQ浏览器,C10060708:华为支付,C10059090:华为游戏中心,C2682:搜狗输入法,
C10049053	华为商城	【华为商城客户端 我的掌上购机神器】 不管您是在路上、开会、上课还是家里沙发上，都能第一时间预约抢购华为、荣耀新品。HUAWEI MATE 8、华为畅享5S、荣耀畅玩5X、荣耀7i、华为P8、荣耀7等众多热门新品一网打尽，先人一步！立即下载客户端，开始选购吧！ 【功能概览】 新版首页：全新首页，更多精彩！ 抢购神器：第一时间预约抢购华	http://appimg.hicloud.com/hwmarket/files/application/icon144/04bd440c8e884264aa51a7b95435a4f7.png	C20252:京东,C5373:支付宝,C5683:微信,C34075:手机淘宝,C5206:美团,C2060:导航犬,C10017070:高铁管家,C57804:天猫,C3466:酷狗音乐,C10047107:滴滴出行,C34075:手机淘宝,C5373:支付宝,C10049053:华为商城,C5206:美团,C57804:天猫,C10608:大众点评,C20252:京东,C31975:墨迹天气,C9136:唯品会,C5037:号码百事通,
C31346	手机百度	【软件介绍】  手机百度客户端是百度旗下最权威专业的搜索客户端，中国人的搜索首选，你的装机必备软件。  【主要功能】 ·【兴趣卡片】你的首页你做主！无论你是立场鲜明的评论达人，还是小说虫、美剧狂、星座控……近百种卡片，总有一款适合你。 ·【拍照搜索】拍服装，找相似比价格；拍花卉，知名称晓品种；拍果蔬，查热量看菜谱。搜索新方式，拍	http://appimg.hicloud.com/hwmarket/files/application/icon144/484d297ff8ac4246a5bfc81914e9013a.png	C174391:百度云,C10047107:滴滴出行,C183901:WiFi信号增强…,C5683:微信,C43397:百度浏览器,C54626:铃声多多,C2682:搜狗输入法,C41529:万年历日历,C3382:百度地图,C10220136:QQ音乐,C27162:华为应用市场,C66323:华为备份,C10055832:文件管理,C21976:UC浏览器,C10067631:华为手机服务,C10207207:华为云服务,C20679:QQ浏览器,C10060708:华为支付,C10059090:华为游戏中心,C2682:搜狗输入法,
C2002	爱奇艺	爱奇艺热播：女医明妃传！  【全网热播】 《女医明妃传》热播：刘诗诗陷三角虐恋 《青丘狐传说》热播：高颜值狐仙传奇 《老炮儿》热播：冯小刚茬架吴亦凡 《中国好歌曲》独播：羽泉回归与晓萱抢人 《二十四小时》热播：陈坤亲吻林心如  独播：奇葩说3 废柴兄弟3  偶滴歌神2 大牌对王牌    剧集：女医明	http://appimg.hicloud.com/hwmarket/files/application/icon144/e66d7793489142bea05a6dbba0b94622.png	C183901:WiFi信号增强…,C52577:爱奇艺PPS,C10047107:滴滴出行,C20252:京东,C185099:个性彩铃,C32569:优酷,C5683:微信,C10180621:最美锁屏,C10220136:QQ音乐,C22852:暴风影音,C10021449:音乐,C3466:酷狗音乐,C2002:爱奇艺,C20960:搜狐视频,C32569:优酷,C29156:腾讯视频,C290:酷我音乐,C2068:多米音乐,C10220136:QQ音乐,C10162466:爱看4G视频,
C20911	高德地图	亲觅-定位聊天两不误！ 1600万年轻人都在用！你不用？ 微信、微博、QQ里最受欢迎的定位神器，多次被App storet推荐！ 定位+聊天+足迹+社区+导航让你的足迹时尚时尚最时尚！  用亲觅找伙伴： 好友位置实时更新，再也不怕掉队了！  用亲觅了解他： 历史足迹查询，他去过哪里我都知道！ <br	http://appimg.hicloud.com/hwmarket/files/application/icon144/8d036b1dbb1b4ccbba38049a74379bbc.png	C183901:WiFi信号增强…,C10017070:高铁管家,C10099655:铁路12306,C20252:京东,C31346:手机百度,C107870:e代驾,C9319:QQ,C10099610:博雅中国象棋,C3382:百度地图,C34075:手机淘宝,C3382:百度地图,C20911:高德地图,C5157:携程旅行,C262:去哪儿旅行,C5745:天翼导航,C3403:高德导航,C39196:艺龙旅行,C10067576:116114,C12192:同程旅游,C10043914:和地图,
C3466	酷狗音乐	企+:3000万企业全景信息，免费查询。提供基于大数据下的个性化关注及订阅服务，不仅能第一时间掌握你关注的企业头条新闻及舆情监控，还可订阅您所关心的行业头条新闻。有效地获取相关互联网数据，降低商业风险，指导经营决策。通过一键扫描名片功能，直接关联企业，开启诚信商务社交关系。　   【企业查询】：通过“企业全称”或“企业关键字+省份”，随时随地查看	http://appimg.hicloud.com/hwmarket/files/application/icon144/f4bcfe0efa5242ce83e5198f09b58ca7.png	C34075:手机淘宝,C5683:微信,C183901:WiFi信号增强…,C9319:QQ,C290:酷我音乐,C10047107:滴滴出行,C185099:个性彩铃,C10220136:QQ音乐,C5373:支付宝,C54626:铃声多多,C10021449:音乐,C3466:酷狗音乐,C2002:爱奇艺,C20960:搜狐视频,C32569:优酷,C29156:腾讯视频,C290:酷我音乐,C2068:多米音乐,C10220136:QQ音乐,C10162466:爱看4G视频,
C21976	UC浏览器	游久看比赛是一款囊括所有主流游戏赛事直播的客户端，包含DOTA2、LOL等主流电竞项目。保证视频直播的同时，也具有文字直播，方便广大玩家，尤其是关注电竞赛事的上班族，上学族，随时随地获取所关注比赛的现场报道。是全面专业的电竞游戏图文直播的手机客户端。	http://appimg.hicloud.com/hwmarket/files/application/icon144/26563685506b4782a21cbb4d0b5b1039.png	C10059250:神庙逃亡2,C10121542:晴天小狗,C10212671:阿达脑训练,C183901:WiFi信号增强…,C10237646:3D暴力飙车,C174391:百度云,C34075:手机淘宝,C5683:微信,C20252:京东,C3382:百度地图,C27162:华为应用市场,C66323:华为备份,C10055832:文件管理,C21976:UC浏览器,C10067631:华为手机服务,C10207207:华为云服务,C20679:QQ浏览器,C10060708:华为支付,C10059090:华为游戏中心,C2682:搜狗输入法,
