C5683	微信	1.可以发语音、文字消息、表情、图片、视频30M流量可以收发上千条语音，省电省流量
C9319	QQ	-----QQ•乐在沟通-----√服务超过90%的移动互联网用户√多人视频、文件多端互传，不断创新满足沟通所需√致力于打造欢乐无限的沟通、娱乐与生活体验…
C10021449	音乐	华为音乐是华为手机上内置的系统音乐播放器，旨在为用户提供一站式的音乐体验服务。无需安装第三方音乐软件，即可享受来自互联网的海量音乐资源。
C27162	华为应用市场	新版本特性：
C10055832	文件管理	【软件介绍】 
C66323	华为备份	【软件介绍】
C10132067	华为帐号	华为帐号，是您用于访问所有华为终端服务的帐号。使用华为帐号登录后，您将可以使用这台设备的华为云服务、应用市场、华为商城、花粉俱乐部、游戏中心（包含下…
C34075	手机淘宝	打开淘宝领金币-人人有份
C7166	微博	随时随地发现新鲜事！微博带你欣赏世界上每一个精彩瞬间，了解每一个幕后故事。分享你想表达的，让全世界都能听到你的心声。
C10060708	华为支付	该应用为华为钱包支付服务插件，无桌面图标，不支持打开操作，如需进行花币充值、银行卡管理、查询账单及体验其他钱包功能，请搜索“华为钱包”安装体验。华为…
C57236	今日头条	★用户量过4亿的新闻阅读客户端 
C121553	WPS Office	崭新界面设计全面开启，操作得到更大幅度的提高和优化
C3382	百度地图	【基本功能介绍】
C10217244	华为钱包	1.“红酒”频道，精选莫塞尔多款进口红酒，享受华为特惠价格，让你足不出户品尝世界各地的葡萄佳酿！ 
C10207207	华为云服务	【软件介绍】
C20679	QQ浏览器—分分钟刷出精彩	QQ浏览器，亿万小伙伴认可，安全浏览，极速体验，更懂你需求
C21976	UC浏览器	功夫熊猫阿宝代言UC 邀你笑闹过大年
C3466	酷狗音乐	【我是歌手第四季  正版首播】
C2002	爱奇艺	爱奇艺热播：女医明妃传！
C10049053	华为商城	【华为商城客户端 我的掌上购机神器】
C20911	高德地图	国内专业的手机地图，超过3.2亿用户在使用！高德地图是应用商店上数据准确率高、省流量、躲避拥堵功能强大的手机地图，平均每天为用户省油61万升！
C31346	手机百度	【软件介绍】 
C5206	美团	欢度元宵节，惊喜二重奏！
C10067631	华为手机服务	“手机服务”为华为手机用户提供立体在线服务，集成智能问答、用户指南、服务网点、花粉论坛等必备服务，旨在为用户提供统一的手机售后服务入口，帮助用户便捷…
